video_id,title,published_at,channel_id,query,country,likes,views,comments_count,top_comments,transcript
MqzIngyeWYU,Black womens hair products are in the safety spotlight Heres what to know,2025-03-29T13:00:33Z,UC52X5wxOL_s5yw0dQk7NtgA,women safety,US,35,123,0,,it's been a part of our culture for years I don't think braids is going anywhere we've been getting them since we were young like we getting braids at 2 three now many people do use braids you can see them when you go on vacation but the fact of the matter is that the most common um consumer would be black women so what we're saying that in this small study we found 90% of the products for instance having lead one of the products had no heavy metals for instance so that one tells us well you can make this stuff safer and we suspect that if we had tested wider we would have found more samples my first was it's about time that people were thinking about exposures that are really isolated to certain racial and ethnic groups for a consumer report this digestible and a start this is great but moving forward we're going to have to have rigorous methods I should probably start bringing awareness to clients cuz that's serious you know the more that we can raise awareness that some of these cultural routines could potentially provide harm is us having the potential to stop that harm
69Rj54QIfQs,  safe  women safety goviral womenissues,2025-03-29T12:19:21Z,UCdYJNfGPs-l8nY6OAGZEszg,women safety,IN,3,84,0,,
N_MJjfjddls,PCC Chief Bhakta Das Visits Taratarini Temple  Advocates Womens Safety amp Empowerment,2025-03-29T12:08:11Z,UC90RW5ZmBBqp4r2QIQxfACA,women safety,IN,37,716,3,Maa        Dasha babu jindabad,
TmIoV3ibvyU,      shortsvideo,2025-03-29T11:36:34Z,UCBaPowDROIZk5AcqN_M7vwg,women safety,IN,0,2994,4,Solve  322  322 2 Answer  2  2,
2pYQPSBT0j8,Dubai women safety 2025 shorts shortsfeed viralvideo,2025-03-29T11:29:00Z,UCTRo7ptYF18gJ1ogI-J3fJw,women safety,IN,0,1,0,,
ZCj7CS6PoyE, tiktok motivation islamicshorts shortsfeed women safety yt fbreels hadis fyp,2025-03-29T07:12:22Z,UClTw_da-WJWOgmzYnWIRtww,women safety,US,0,104,0,,
omrYKOuAGMk,PU Student Election Voting    Patna Science College  Women Safety   ,2025-03-29T07:02:27Z,UC_3pk7XGTGBZr8G3lH5aRwA,women safety,IN,4,830,0,,
Gqp4Z0ogjmQ,Ranipanda a female leader confronts women39s safety,2025-03-29T06:59:57Z,UC__N2o8mfd0gFKLZM6JgSOw,women safety,IN,2,200,0,,
Rm-Ihk5rq7Y,women safety humanity,2025-03-29T06:21:50Z,UCdgoUqM0IySeLgD_yXlj18w,women safety,IN,0,4,0,,
CZzfTKWpCcM,Is Jakarta Safe For Women  Exploring Southeast Asia,2025-03-29T04:23:20Z,UC9cgeYQk5mRY_CqbxDze3Tg,women safety,US,0,1,0,,is Jakarta safe for women if you're planning a trip to Jakarta and wondering how safe it is for women your right to ask let's break down the facts to help you make an informed decision first it's important to understand that safety concerns can vary depending on the area and the situation in Jakarta women's safety is a significant issue particularly in public spaces a safety audit conducted in three areas of Jakarta south Jakarta East Jakarta and West Jakarta highlighted key concerns such as sexual violence and harassment against women public transportation is one of the areas where women face significant risks there have been reported cases of sexual assault and even murder of female users of public transport for instance a university student was robbed murdered and raped while using a public minivan in 2011 these incidents have led to a movement demanding safer public transport for women despite these challenges many women in Jakarta feel relatively safe especially when taking necessary precautions for example using reputable taxi services like Bluebird or ride sharing services such as Go Jack or grab can help minimize risks it's also advised to avoid walking alone at night and to keep valuables secure the local culture and Community play a significant role in safety as well Jakarta is a conservative city with a predominantly Muslim population and dressing modestly can help avoid unwanted attention however even with these precautions some women may still experience harassment or uncomfortable situations in terms of general safety Jakarta is considered safer than many other major cities in terms of violent and petty crime however corruption and bribery are factors that affect the overall crime rate natural disasters and terrorist activities are also concerns that Travelers should be aware of to stay safe in Jakarta it's recommended to follow basic safety practices such as using crossbody bags keeping an ey on your belongings and avoiding scams using ATMs in busy public places and protecting your card ination are also important in summary while Jakarta does present some safety challenges for women par particularly in public spaces and transportation taking the right precautions and being aware of the local environment can help ensure a safer experience by understanding these factors and taking necessary steps women can navigate Jakarta more confidently
J6SEJ_ePh14,   women safety girlpower womenssafety tirunelveli,2025-03-29T03:55:23Z,UCelTFQ2o71SNRjO7lvu4Wgg,women safety,IN,29,946,1,100,
KXjAB6sPAY8,Safety Keychain keychain SelfDefense WomenSafety Asmr diy giftsforyou fyp DefenseTool,2025-03-29T03:31:21Z,UCuGR38xDyiFeILA0yi_98ig,women safety,US,1,7,1,To order please visit the shop in my Account Profile,
qihCCtdsQ1Y,Safety Keychain keychain SelfDefense WomenSafety Asmr diy giftsforyou fyp DefenseTool,2025-03-29T03:30:26Z,UCtRHcYu2RyZ-3-2GLkVSe2g,women safety,US,14,541,1,To order please visit the shop in my Account Profile,
GvXU2MIgxCw,Safety Keychain keychain SelfDefense WomenSafety Asmr diy giftsforyou fyp DefenseTool,2025-03-29T02:29:52Z,UCuGR38xDyiFeILA0yi_98ig,women safety,US,1,6,1,To order please visit the shop in my Account Profile,
Hz_6QwMQMww,Safety Keychain keychain SelfDefense WomenSafety Asmr diy giftsforyou fyp DefenseTool,2025-03-29T02:29:47Z,UCtRHcYu2RyZ-3-2GLkVSe2g,women safety,US,37,1553,1,To order please visit the shop in my Account Profile,
Um3pD6hOSjw,Women Safety issue in India  Supreme court Ruling  social change  Allahabad High court verdict,2025-03-29T01:47:30Z,UCqinJ4ZTNSHhVZNphKXhp3A,women safety,IN,6,13,0,,
J1NKEDAVgO4,Safety Keychain keychain SelfDefense WomenSafety Asmr diy giftsforyou fyp DefenseTool,2025-03-29T00:35:17Z,UCtRHcYu2RyZ-3-2GLkVSe2g,women safety,US,33,1228,4,Buetuful green one please   Red one please  Pink one and Blue one please in Lebanon  my name is Pamela   To order please visit the shop in my Account Profile,
6IyTQunFcYI,Safety Keychain keychain SelfDefense WomenSafety Asmr diy giftsforyou fyp DefenseTool,2025-03-29T00:35:17Z,UCuGR38xDyiFeILA0yi_98ig,women safety,US,20,737,1,To order please visit the shop in my Account Profile,
rcu5fvc2Los,Creating a safe space amp awareness hub for women safety,2025-03-28T23:41:34Z,UCpJgTdzCGt-3veeo2-MZUJA,women safety,IN,0,3,0,,[Music] oh [Music]
